INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,Driving_kids,Kids,Past_claims,Homeowner,Minivan,stu_blu,college,AgeGroup,CarGroup,log_INCOME,log_BLUEBOOK,log_OLDCLAIM,log_TARGET_AMT
1.0,0.0,0.0,0.0,60.0,0.0,11.0,67349.0,0.0,0.0,0.0,0.0,3.0,5.0,14.0,1.0,14230.0,11.0,0.0,1.0,4461.0,2.0,0.0,3.0,18.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0.34884774112333616,-0.02733824410173707,1.2273442092187223,-0.5985369596280332
2.0,0.0,0.0,0.0,43.0,0.0,11.0,91449.0,0.0,257252.0,0.0,0.0,4.0,7.0,22.0,0.0,14940.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0.7293935744576676,0.05862955110481054,-0.7916055246799156,-0.5985369596280332
4.0,0.0,0.0,0.0,35.0,1.0,10.0,16039.0,0.0,124191.0,1.0,1.0,4.0,0.0,5.0,1.0,4010.0,4.0,5.0,0.0,38690.0,2.0,0.0,3.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,-0.8897488004885159,-1.7022199548165429,1.4289221848143845,-0.5985369596280332
5.0,0.0,0.0,0.0,51.0,0.0,14.0,90608.0,0.0,306251.0,1.0,0.0,0.0,7.0,32.0,1.0,15440.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1,0.7171378180755247,0.11785590742366814,-0.7916055246799156,-0.5985369596280332
6.0,0.0,0.0,0.0,50.0,0.0,12.0,114986.0,0.0,243925.0,1.0,1.0,3.0,1.0,36.0,1.0,18000.0,1.0,5.0,0.0,19217.0,2.0,1.0,3.0,17.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,1.0496109044617012,0.40603254820351314,1.371308064171126,-0.5985369596280332
7.0,1.0,2946.0,0.0,34.0,1.0,12.0,125301.0,1.0,0.0,0.0,1.0,1.0,7.0,46.0,0.0,17430.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,1,1.1782515112243344,0.34388467272720397,-0.7916055246799156,1.6644933840153813
8.0,0.0,0.0,0.0,54.0,0.0,10.0,18755.0,0.0,88214.0,1.0,1.0,0.0,7.0,33.0,1.0,8780.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1,-0.7893179114579139,-0.7831292227626693,-0.7916055246799156,-0.5985369596280332
11.0,1.0,4021.0,1.0,37.0,2.0,12.0,107961.0,0.0,333680.0,1.0,0.0,1.0,7.0,44.0,0.0,16970.0,1.0,4.0,1.0,2374.0,1.0,1.0,10.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0.9582444296827165,0.2929269648081707,1.1536078202721665,1.6758412739957156
12.0,1.0,2501.0,0.0,34.0,0.0,10.0,62978.0,0.0,0.0,0.0,1.0,1.0,0.0,34.0,1.0,11200.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.27196960639761153,-0.42312112213053665,-0.7916055246799156,1.657929391703743
13.0,0.0,0.0,0.0,50.0,0.0,7.0,106952.0,0.0,0.0,0.0,0.0,1.0,5.0,48.0,0.0,18510.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.9448498234636697,0.4607454159995719,-0.7916055246799156,-0.5985369596280332
